
{LOG }: Start Time = 2021/06/08 12:20:50 

[ 2021/06/08 12:20:50 ]   Chache: IPfile init 464 ip in ../res/dnsrelay.txt

[ 2021/06/08 12:21:01 ]   ==>>Recv [ id:22782 ] qr:0 ancount:0 qdcount:1 from IP 127.0.0.1

[ 2021/06/08 12:21:01 ]   [ id:22782 ] maybe query for dcservicesvisualstudiocom from client.

[ 2021/06/08 12:21:01 ]   <<==Change id from 22782 to 0 and send to Server

[ 2021/06/08 12:21:01 ]   ==>>Recv [ id:22782 ] qr:0 ancount:0 qdcount:1 from IP 127.0.0.1

[ 2021/06/08 12:21:01 ]   [ id:22782 ] maybe query for dcservicesvisualstudiocom from client.

[ 2021/06/08 12:21:01 ]   <<==Change id from 22782 to 1 and send to Server

[ 2021/06/08 12:21:01 ]   ==>>Recv [ id:22782 ] qr:0 ancount:0 qdcount:1 from IP 127.0.0.1

[ 2021/06/08 12:21:01 ]   [ id:22782 ] maybe query for dcservicesvisualstudiocom from client.

[ 2021/06/08 12:21:01 ]   <<==Change id from 22782 to 2 and send to Server

[ 2021/06/08 12:21:01 ]   ==>>Recv [ id:22782 ] qr:0 ancount:0 qdcount:1 from IP 127.0.0.1

[ 2021/06/08 12:21:01 ]   [ id:22782 ] maybe query for dcservicesvisualstudiocom from client.

[ 2021/06/08 12:21:01 ]   <<==Change id from 22782 to 3 and send to Server

[ 2021/06/08 12:21:01 ]   ==>>Recv [ id:4083 ] qr:0 ancount:0 qdcount:1 from IP 127.0.0.1

[ 2021/06/08 12:21:01 ]   [ id:4083 ] maybe query for checkappexec	microsoftcom from client.

[ 2021/06/08 12:21:01 ]   <<==Change id from 4083 to 4 and send to Server

[ 2021/06/08 12:21:01 ]   ==>>Recv [ id:4083 ] qr:0 ancount:0 qdcount:1 from IP 127.0.0.1

[ 2021/06/08 12:21:01 ]   [ id:4083 ] maybe query for checkappexec	microsoftcom from client.

[ 2021/06/08 12:21:01 ]   <<==Change id from 4083 to 5 and send to Server

[ 2021/06/08 12:21:01 ]   ==>>Recv [ id:4083 ] qr:0 ancount:0 qdcount:1 from IP 127.0.0.1

[ 2021/06/08 12:21:01 ]   [ id:4083 ] maybe query for checkappexec	microsoftcom from client.

[ 2021/06/08 12:21:01 ]   <<==Change id from 4083 to 6 and send to Server

[ 2021/06/08 12:21:01 ]   ==>>Recv [ id:22782 ] qr:0 ancount:0 qdcount:1 from IP 127.0.0.1

[ 2021/06/08 12:21:01 ]   [ id:22782 ] maybe query for dcservicesvisualstudiocom from client.

[ 2021/06/08 12:21:01 ]   <<==Change id from 22782 to 7 and send to Server

[ 2021/06/08 12:21:01 ]   ==>>Recv [ id:0 ] qr:1 ancount:7 qdcount:1 from IP 10.3.9.44

[ 2021/06/08 12:21:01 ]   <<==Send back it as [ id:22782 ] to client IP: 127.0.0.1

[ 2021/06/08 12:21:01 ]   ==>>Recv [ id:1 ] qr:1 ancount:7 qdcount:1 from IP 10.3.9.44

[ 2021/06/08 12:21:01 ]   <<==Send back it as [ id:22782 ] to client IP: 127.0.0.1

