
{LOG }: Start Time = 2021/06/08 12:45:58 

[ 2021/06/08 12:45:58 ]   Chache: IPfile init 464 ip in ../res/dnsrelay.txt
[ 2021/06/08 12:46:37 ]   ==>>Recv [ id:54001 ] qr:0 ancount:0 qdcount:1 from IP 127.0.0.1

[ 2021/06/08 12:46:37 ]   [ id:54001 ] maybe query for opsspqqcom from client.

[ 2021/06/08 12:46:37 ]   <<==Change id from 54001 to 2 and send to Server

[ 2021/06/08 12:46:37 ]   ==>>Recv [ id:1 ] qr:1 ancount:4 qdcount:1 from IP 10.3.9.44

[ 2021/06/08 12:46:37 ]   <<==Send back it as [ id:21198 ] to client IP: 127.0.0.1

[ 2021/06/08 12:46:37 ]   ==>>Recv [ id:2 ] qr:1 ancount:4 qdcount:1 from IP 10.3.9.44

[ 2021/06/08 12:46:37 ]   <<==Send back it as [ id:54001 ] to client IP: 127.0.0.1

[ 2021/06/08 12:46:37 ]   ==>>Recv [ id:44498 ] qr:0 ancount:0 qdcount:1 from IP 127.0.0.1

[ 2021/06/08 12:46:37 ]   [ id:44498 ] maybe query for psspqqcom from client.

[ 2021/06/08 12:46:37 ]   <<==Change id from 44498 to 1 and send to Server

[ 2021/06/08 12:46:37 ]   ==>>Recv [ id:44498 ] qr:0 ancount:0 qdcount:1 from IP 127.0.0.1

[ 2021/06/08 12:46:37 ]   [ id:44498 ] maybe query for psspqqcom from client.

[ 2021/06/08 12:46:37 ]   <<==Change id from 44498 to 2 and send to Server

[ 2021/06/08 12:46:37 ]   ==>>Recv [ id:1 ] qr:1 ancount:4 qdcount:1 from IP 10.3.9.44

[ 2021/06/08 12:46:37 ]   <<==Send back it as [ id:44498 ] to client IP: 127.0.0.1

[ 2021/06/08 12:46:37 ]   ==>>Recv [ id:2 ] qr:1 ancount:4 qdcount:1 from IP 10.3.9.44

[ 2021/06/08 12:46:37 ]   <<==Send back it as [ id:44498 ] to client IP: 127.0.0.1

[ 2021/06/08 12:46:37 ]   ****>>Recv return -1 from ip: 127.0.0.1 port:63750 -id 44498 [error: 10054] 
